date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:09	19036/19036	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:27%20GMT	https://alioth-html.pethemes.com/light/index.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/index.html	(from )
13:42:10	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Aug%202022%2008:12:10%20GMT	https://alioth-html.pethemes.com/robots.txt		(from )
13:42:10	150202/150202	---MCZ	200	added ('OK')	text/css	etag:W/%22624b7f99-2ceed%22	https://alioth-html.pethemes.com/light/css/plugins.css	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/css/plugins.css	(from https://alioth-html.pethemes.com/light/index.html)
13:42:10	133259/133259	---MCZ	200	added ('OK')	text/css	etag:W/%22624b7f97-2ecc7%22	https://alioth-html.pethemes.com/light/style.css	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/style.css	(from https://alioth-html.pethemes.com/light/index.html)
13:42:11	14871/14871	---M--	200	added ('OK')	image/png	etag:%22616824da-4911%22	https://alioth-html.pethemes.com/light/img/favicon.png	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/img/favicon.png	(from https://alioth-html.pethemes.com/light/index.html)
13:42:11	992/992	---M--	200	added ('OK')	image/png	etag:%22616824cf-933%22	https://alioth-html.pethemes.com/light/img/site-logo.png	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/img/site-logo.png	(from https://alioth-html.pethemes.com/light/index.html)
13:42:11	873/873	---M--	200	added ('OK')	image/png	etag:%22616824cc-8c9%22	https://alioth-html.pethemes.com/light/img/site-logo-light.png	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/img/site-logo-light.png	(from https://alioth-html.pethemes.com/light/index.html)
13:42:12	14946/14946	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:24%20GMT	https://alioth-html.pethemes.com/light/home-personal.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-personal.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:12	20484/20484	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:25%20GMT	https://alioth-html.pethemes.com/light/home-showcase-carousel.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-showcase-carousel.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:12	18914/18914	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:25%20GMT	https://alioth-html.pethemes.com/light/home-showcase-list.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-showcase-list.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:13	16899/16899	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:26%20GMT	https://alioth-html.pethemes.com/light/home-showcase-slideshow.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-showcase-slideshow.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:13	20003/20003	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:26%20GMT	https://alioth-html.pethemes.com/light/home-showcase-wall.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-showcase-wall.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:13	9800/9800	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:23%20GMT	https://alioth-html.pethemes.com/light/home-fullscreen-slider.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-fullscreen-slider.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:13	9921/9921	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:23%20GMT	https://alioth-html.pethemes.com/light/home-fullscreen-slideshow.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-fullscreen-slideshow.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:14	8916/8916	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:23%20GMT	https://alioth-html.pethemes.com/light/home-fullscreen-wall.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-fullscreen-wall.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:14	16730/16730	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:24%20GMT	https://alioth-html.pethemes.com/light/home-shop.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/home-shop.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:14	22440/22440	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:20%20GMT	https://alioth-html.pethemes.com/light/about.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/about.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:14	15362/15362	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:19%20GMT	https://alioth-html.pethemes.com/light/about-me.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/about-me.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:15	12654/12654	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:27%20GMT	https://alioth-html.pethemes.com/light/our-team.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/our-team.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:15	10624/10624	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:22%20GMT	https://alioth-html.pethemes.com/light/clients.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/clients.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:15	12882/12882	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:27%20GMT	https://alioth-html.pethemes.com/light/our-services.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/our-services.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:15	7011/7011	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:19%20GMT	https://alioth-html.pethemes.com/light/404-not-found.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/404-not-found.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:16	10981/10981	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:32%20GMT	https://alioth-html.pethemes.com/light/works.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/works.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:16	12093/12093	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:21%20GMT	https://alioth-html.pethemes.com/light/blog-list.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/blog-list.html	(from https://alioth-html.pethemes.com/light/index.html)
13:42:16	10355/10355	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2023:30:20%20GMT	https://alioth-html.pethemes.com/light/blog-classic.html	C:/My%20Web%20Sites/adithyan%203/alioth-html.pethemes.com/light/blog-classic.html	(from https://alioth-html.pethemes.com/light/index.html)
